Date,Open,High,Low,Close,Adj Close,Volume
2015-03-13,76.599998,76.599998,75.290001,76.000000,54.793957,1483300
2015-03-16,76.150002,77.529999,76.110001,76.839996,55.399586,1811100
2015-03-17,76.599998,76.650002,75.339996,76.250000,54.974190,1366200
2015-03-18,76.470001,76.709999,75.690002,76.089996,54.858837,1138800
2015-03-19,76.300003,76.400002,75.209999,75.599998,54.505573,1549900
2015-03-20,75.639999,76.449997,75.599998,76.339996,55.039082,4049600
2015-03-23,76.540001,76.879997,76.360001,76.410004,55.089558,898000
2015-03-24,76.400002,77.250000,76.029999,76.699997,55.298626,1284500
2015-03-25,76.879997,77.000000,75.699997,75.820000,54.664173,1471100
2015-03-26,75.620003,76.120003,75.220001,75.790001,54.642536,1183000
2015-03-27,75.650002,76.029999,74.750000,75.199997,54.217171,2647200
2015-03-30,75.320000,76.139999,74.989998,75.029999,54.094616,1664100
2015-03-31,74.900002,76.110001,74.190002,75.900002,54.721859,1944300
2015-04-01,75.870003,75.949997,75.050003,75.809998,54.656963,1599600
2015-04-02,75.750000,76.680000,75.680000,76.400002,55.082352,1319000
2015-04-06,76.199997,77.089996,75.879997,76.449997,55.118385,959700
2015-04-07,76.650002,77.510002,76.650002,77.230003,55.680756,1190600
2015-04-08,77.199997,77.580002,76.860001,77.279999,55.716801,1303200
2015-04-09,77.339996,78.349998,77.330002,78.129997,56.329632,1464400
2015-04-10,78.389999,78.639999,77.919998,78.330002,56.473824,920800
2015-04-13,78.470001,78.720001,78.199997,78.529999,56.618015,1387800
2015-04-14,78.500000,78.750000,78.180000,78.559998,56.639652,1304500
2015-04-15,78.800003,80.080002,78.570000,79.610001,57.396660,2442500
2015-04-16,79.589996,79.919998,79.029999,79.620003,57.403870,1417900
2015-04-17,79.320000,79.529999,78.900002,79.330002,57.194794,1508800
2015-04-20,79.690002,80.089996,79.500000,79.769997,57.512016,1492100
2015-04-21,80.010002,80.099998,79.559998,79.900002,57.605751,1074500
2015-04-22,79.750000,79.750000,78.669998,79.669998,57.439922,1747200
2015-04-23,79.489998,80.209999,79.339996,79.910004,57.612957,1315800
2015-04-24,80.129997,80.300003,79.940002,80.209999,57.829250,828200
2015-04-27,80.510002,80.760002,80.230003,80.400002,57.966225,1272300
2015-04-28,80.489998,80.599998,80.070000,80.599998,58.110420,1004800
2015-04-29,79.500000,79.820000,79.330002,79.639999,57.993923,1410600
2015-04-30,79.639999,79.650002,78.599998,78.820000,57.396797,1441400
2015-05-01,78.860001,79.430000,78.680000,79.029999,57.549698,746700
2015-05-04,79.129997,79.150002,78.879997,79.040001,57.556999,566400
2015-05-05,78.919998,79.120003,77.769997,78.089996,56.865215,997000
2015-05-06,77.870003,78.089996,76.989998,77.400002,56.362743,1219800
2015-05-07,77.320000,77.550003,76.629997,77.529999,56.457424,1263500
2015-05-08,77.889999,78.160004,77.620003,77.940002,56.755981,745900
2015-05-11,78.010002,78.239998,77.660004,78.080002,56.857922,835700
2015-05-12,77.750000,78.070000,77.550003,77.809998,56.661308,822400
2015-05-13,77.949997,78.029999,77.290001,77.620003,56.522945,826300
2015-05-14,77.500000,77.800003,77.120003,77.480003,56.421005,1031000
2015-05-15,77.480003,77.570000,77.010002,77.360001,56.333618,1043300
2015-05-19,77.419998,77.949997,76.930000,77.839996,56.683147,1248400
2015-05-20,77.849998,78.389999,77.370003,77.629997,56.530235,1366800
2015-05-21,77.580002,78.690002,77.510002,78.400002,57.090965,1203900
2015-05-22,78.370003,78.449997,78.019997,78.290001,57.010853,624400
